Date,Open,High,Low,Close,Adj Close,Volume
2013-05-13,64.501427,65.414284,64.500000,64.962860,50.961628,79237200
2013-05-14,64.835716,65.028572,63.164288,63.408573,49.742329,111779500
2013-05-15,62.737144,63.000000,60.337143,61.264286,48.060188,185403400
2013-05-16,60.462856,62.549999,59.842857,62.082859,48.702328,150801000
2013-05-17,62.721428,62.869999,61.572857,61.894287,48.554409,106976100
2013-05-20,61.701427,63.685715,61.442856,63.275715,49.638096,112894600
2013-05-21,62.592857,63.639999,62.028572,62.808571,49.271629,114005500
2013-05-22,63.435715,64.050003,62.602856,63.049999,49.461025,110759600
2013-05-23,62.278572,63.737144,62.255714,63.162857,49.549564,88255300
2013-05-24,62.978573,63.665714,62.908573,63.592857,49.886887,69041700
2013-05-28,64.271431,64.444283,62.978573,63.062859,49.471127,96536300
2013-05-29,62.857143,63.928570,62.771427,63.564285,49.864471,82644100
2013-05-30,63.664288,64.928574,63.501427,64.511429,50.607475,88379900
2013-05-31,64.642860,65.300003,64.214287,64.247147,50.400158,96075700
2013-06-03,64.389999,64.622856,63.211430,64.388573,50.511097,93088100
2013-06-04,64.745712,64.918571,63.912857,64.187141,50.353092,73182200
2013-06-05,63.664288,64.388573,63.387142,63.587143,49.882401,72647400
2013-06-06,63.638573,63.857143,62.007141,62.637142,49.137157,104233500
2013-06-07,62.357143,63.320000,61.824287,63.115715,49.512577,101133900
2013-06-10,63.532856,64.154289,62.400002,62.698570,49.185345,112538300
2013-06-11,62.248573,63.251427,61.902859,62.514286,49.040783,71528100
2013-06-12,62.785713,63.035713,61.642857,61.741428,48.434486,66306800
2013-06-13,61.785713,62.448570,61.250000,62.279999,48.856991,71458100
2013-06-14,62.200001,62.327145,61.214287,61.435715,48.194675,67966500
2013-06-17,61.634285,62.242859,61.480000,61.714287,48.413200,64853600
2013-06-18,61.651428,62.128571,61.458572,61.681427,48.387424,48756400
2013-06-19,61.628571,61.665714,60.428570,60.428570,47.404587,77735000
2013-06-20,59.900002,60.854286,59.310001,59.548573,46.714264,89327700
